RUN	Model10U25	model10u25	1612215588926	 	3.3.1
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 0 with intensity 3	16	START	1612215590042	1612215590042
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 1 with intensity 3	34	START	1612215590045	1612215590045
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 7 with intensity 2	1	START	1612215590039	1612215590039
USER	Client 2 attacks server 1 at address localhost:8081 looking for resource 5 with intensity 2	20	START	1612215590042	1612215590042
USER	Client 9 attacks server 4 at address localhost:8084 looking for resource 4 with intensity 3	47	START	1612215590049	1612215590049
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 0 with intensity 3	17	START	1612215590042	1612215590042
USER	Client 9 attacks server 4 at address localhost:8084 looking for resource 6 with intensity 2	10	START	1612215590040	1612215590040
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 1 with intensity 3	44	START	1612215590049	1612215590049
USER	Client 9 attacks server 4 at address localhost:8084 looking for resource 4 with intensity 3	45	START	1612215590049	1612215590049
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 6 with intensity 2	36	START	1612215590046	1612215590046
USER	Client 4 attacks server 1 at address localhost:8081 looking for resource 1 with intensity 3	26	START	1612215590044	1612215590044
USER	Client 4 attacks server 1 at address localhost:8081 looking for resource 1 with intensity 3	25	START	1612215590044	1612215590044
USER	Client 4 attacks server 1 at address localhost:8081 looking for resource 5 with intensity 2	54	START	1612215590092	1612215590092
USER	Client 4 attacks server 1 at address localhost:8081 looking for resource 5 with intensity 2	55	START	1612215590092	1612215590092
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 6 with intensity 2	51	START	1612215590092	1612215590092
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 7 with intensity 2	56	START	1612215590092	1612215590092
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 6 with intensity 2	50	START	1612215590092	1612215590092
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 7 with intensity 2	57	START	1612215590092	1612215590092
USER	Client 2 attacks server 1 at address localhost:8081 looking for resource 4 with intensity 3	58	START	1612215590092	1612215590092
USER	Client 2 attacks server 1 at address localhost:8081 looking for resource 4 with intensity 3	60	START	1612215590092	1612215590092
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 9 with intensity 2	62	START	1612215590092	1612215590092
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 9 with intensity 2	61	START	1612215590092	1612215590092
USER	Client 3 attacks server 1 at address localhost:8081 looking for resource 3 with intensity 3	64	START	1612215590092	1612215590092
USER	Client 2 attacks server 1 at address localhost:8081 looking for resource 4 with intensity 3	59	START	1612215590092	1612215590092
USER	Client 3 attacks server 1 at address localhost:8081 looking for resource 3 with intensity 3	63	START	1612215590092	1612215590092
USER	Client 3 attacks server 1 at address localhost:8081 looking for resource 3 with intensity 3	65	START	1612215590092	1612215590092
USER	Client 9 attacks server 4 at address localhost:8084 looking for resource 4 with intensity 3	46	START	1612215590049	1612215590049
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 7 with intensity 2	66	START	1612215590093	1612215590093
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 7 with intensity 2	67	START	1612215590093	1612215590093
USER	Client 3 attacks server 1 at address localhost:8081 looking for resource 0 with intensity 3	68	START	1612215590093	1612215590093
USER	Client 3 attacks server 1 at address localhost:8081 looking for resource 0 with intensity 3	69	START	1612215590093	1612215590093
USER	Client 3 attacks server 1 at address localhost:8081 looking for resource 0 with intensity 3	70	START	1612215590093	1612215590093
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 1 with intensity 3	71	START	1612215590093	1612215590093
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 1 with intensity 3	72	START	1612215590093	1612215590093
USER	Client 4 attacks server 1 at address localhost:8081 looking for resource 2 with intensity 3	75	START	1612215590093	1612215590093
